,title,decision,authors
0,Making Neural Programming Architectures Generalize via Recursion,Accept (Oral),"Jonathon Cai, Richard Shin, Dawn Song"
1,End-to-end Optimized Image Compression,Accept (Oral),"Johannes Ballé, Valero Laparra, Eero P. Simoncelli"
2,Optimization as a Model for Few-Shot Learning,Accept (Oral),"Sachin Ravi, Hugo Larochelle"
3,Learning End-to-End Goal-Oriented Dialog,Accept (Oral),"Antoine Bordes, Y-Lan Boureau, Jason Weston"
4,Towards Principled Methods for Training Generative Adversarial Networks,Accept (Oral),"Martin Arjovsky, Leon Bottou"
5,Reinforcement Learning with Unsupervised Auxiliary Tasks,Accept (Oral),"Max Jaderberg, Volodymyr Mnih, Wojciech Marian Czarnecki, Tom Schaul, Joel Z Leibo, David Silver, Koray Kavukcuoglu"
6,Multi-Agent Cooperation and the Emergence of (Natural) Language,Accept (Oral),"Angeliki Lazaridou, Alexander Peysakhovich, Marco Baroni"
7,Understanding deep learning requires rethinking generalization,Accept (Oral),"Chiyuan Zhang, Samy Bengio, Moritz Hardt, Benjamin Recht, Oriol Vinyals"
8,Neural Architecture Search with Reinforcement Learning,Accept (Oral),"Barret Zoph, Quoc Le"
9,Q-Prop: Sample-Efficient Policy Gradient with An Off-Policy Critic,Accept (Oral),"Shixiang Gu, Timothy Lillicrap, Zoubin Ghahramani, Richard E. Turner, Sergey Levine"
10,Learning to Act by Predicting the Future,Accept (Oral),"Alexey Dosovitskiy, Vladlen Koltun"
11,On Large-Batch Training for Deep Learning: Generalization Gap and Sharp Minima,Accept (Oral),"Nitish Shirish Keskar, Dheevatsa Mudigere, Jorge Nocedal, Mikhail Smelyanskiy, Ping Tak Peter Tang"
12,Semi-supervised Knowledge Transfer for Deep Learning from Private Training Data,Accept (Oral),"Nicolas Papernot, Martín Abadi, Úlfar Erlingsson, Ian Goodfellow, Kunal Talwar"
13,Amortised MAP Inference for Image Super-resolution,Accept (Oral),"Casper Kaae Sønderby, Jose Caballero, Lucas Theis, Wenzhe Shi, Ferenc Huszár"
14,Learning Graphical State Transitions,Accept (Oral),Daniel D. Johnson
15,Paying More Attention to Attention: Improving the Performance of Convolutional Neural Networks via Attention Transfer,Accept (Poster),"Sergey Zagoruyko, Nikos Komodakis"
16,Learning Visual Servoing with Deep Features and Fitted Q-Iteration,Accept (Poster),"Alex X. Lee, Sergey Levine, Pieter Abbeel"
17,Stochastic Neural Networks for Hierarchical Reinforcement Learning,Accept (Poster),"Carlos Florensa, Yan Duan, Pieter Abbeel"
18,Nonparametric Neural Networks,Accept (Poster),"George Philipp, Jaime G. Carbonell"
19,Distributed Second-Order Optimization using Kronecker-Factored Approximations,Accept (Poster),"Jimmy Ba, Roger Grosse, James Martens"
20,Pruning Filters for Efficient ConvNets,Accept (Poster),"Hao Li, Asim Kadav, Igor Durdanovic, Hanan Samet, Hans Peter Graf"
21,Learning to Generate Samples from Noise through Infusion Training,Accept (Poster),"Florian Bordes, Sina Honari, Pascal Vincent"
22,FILTER SHAPING FOR CONVOLUTIONAL NEURAL NETWORKS,Accept (Poster),"Xingyi Li, Fuxin Li, Xiaoli Fern, Raviv Raich"
23,Normalizing the Normalizers: Comparing and Extending Network Normalization Schemes,Accept (Poster),"Mengye Ren, Renjie Liao, Raquel Urtasun, Fabian H. Sinz, Richard S. Zemel"
24,Multilayer Recurrent Network Models of Primate Retinal Ganglion Cell Responses,Accept (Poster),"Eleanor Batty, Josh Merel, Nora Brackbill, Alexander Heitman, Alexander Sher, Alan Litke, E.J. Chichilnisky, Liam Paninski"
25,Improving Generative Adversarial Networks with Denoising Feature Matching,Accept (Poster),"David Warde-Farley, Yoshua Bengio"
26,Efficient Vector Representation for Documents through Corruption,Accept (Poster),Minmin Chen
27,Learning Invariant Feature Spaces to Transfer Skills with Reinforcement Learning,Accept (Poster),"Abhishek Gupta, Coline Devin, YuXuan Liu, Pieter Abbeel, Sergey Levine"
28,Transfer of View-manifold Learning to Similarity Perception of Novel Objects,Accept (Poster),"Xingyu Lin, Hao Wang, Zhihao Li, Yimeng Zhang, Alan Yuille, Tai Sing Lee"
29,What does it take to generate natural textures?,Accept (Poster),"Ivan Ustyuzhaninov *, Wieland Brendel *, Leon Gatys, Matthias Bethge"
30,Emergence of foveal image sampling from learning to attend in visual scenes,Accept (Poster),"Brian Cheung, Eric Weiss, Bruno Olshausen"
31,An Information-Theoretic Framework for Fast and Robust Unsupervised Learning via Neural Population Infomax,Accept (Poster),"Wentao Huang, Kechen Zhang"
32,PixelCNN++: Improving the PixelCNN with Discretized Logistic Mixture Likelihood and Other Modifications,Accept (Poster),"Tim Salimans, Andrej Karpathy, Xi Chen, Diederik P. Kingma"
33,Mode Regularized Generative Adversarial Networks,Accept (Poster),"Tong Che, Yanran Li, Athul Jacob, Yoshua Bengio, Wenjie Li"
34,Highway and Residual Networks learn Unrolled Iterative Estimation,Accept (Poster),"Klaus Greff, Rupesh K. Srivastava, Jürgen Schmidhuber"
35,Improving Neural Language Models with a Continuous Cache,Accept (Poster),"Edouard Grave, Armand Joulin, Nicolas Usunier"
36,Unsupervised Cross-Domain Image Generation,Accept (Poster),"Yaniv Taigman, Adam Polyak, Lior Wolf"
37,Third Person Imitation Learning,Accept (Poster),"Bradly C Stadie, Pieter Abbeel, Ilya Sutskever"
