title,decision,year,Authors,rating_score,rating_text,review,confidence_score,confidence_text,academic_age,current_age,total_num_pub,total_num_conference,total_num_informal,total_num_journal
Maximum Entropy Flow Networks,Accept,2017,"['Gabriel Loaiza-Ganem *', 'Yuanjun Gao *', 'John P. Cunningham']","[6, 9, 6]","['Marginally above acceptance threshold', '9', 'Marginally above acceptance threshold']","This paper applies the idea of normalizing flows (NFs), which allows us to build complex densities with tractable likelihoods, to maximum entropy constrained optimization. The paper is clearly written and is easy to follow. Novelty is a weak factor in this paper. The main contributions come from (1) applying previous work on NFs to the problem of MaxEnt estimation and (2) addressing some of the optimization issues resulting from stochastic approximations to E[||T||] in combination with the annealing of Lagrange multipliers. Applying the NFs to MaxEnt is in itself not very novel as a framework. For instance, one could obtain a loss equivalent to the main loss in eq. (6) by minimizing the KLD between KL[p_{phi};f], where f is the unormalized likelihood f propto exp sum_k( - lambda_k T - c_k ||T_k||^2 ). This type of derivation is typical in all previous works using NFs for variational inference. A few experiments on more complex data would strengthen the paper*s results. The two experiments provided show good results but both of them are toy problems. Minor point: Although intuitive, it would be good to have a short discussion of step 8 of algorithm 1 as well.","['4', '5', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[1, 3, 12]","[7, 6, 18]","[29, 5, 96]","[11, 4, 50]","[17, 1, 31]","[1, 0, 15]"
Metacontrol for Adaptive Imagination-Based Optimization,Accept,2017,"['Jessica B. Hamrick', 'Andrew J. Ballard', 'Razvan Pascanu', 'Oriol Vinyals', 'Nicolas Heess', 'Peter W. Battaglia']","[8, 8, 7, 8]","['Top 50% of accepted papers, clear accept', 'Top 50% of accepted papers, clear accept', 'Good paper, accept', 'Top 50% of accepted papers, clear accept']","A well written paper and an interesting construction - I thoroughly enjoyed reading it. I found the formalism a bit hard to follow without specific examples- that is, it wasn*t clear to me at first what the specific components in figure 1A were. What constitutes the controller, a control, the optimizer, what was being optimized, etc., in specific cases. Algorithm boxes may have been helpful, especially in the case of your experiments. A description of existing models that fall under your conceptual framework might help as well. In Practical Bayesian Optimization of Machine Learning Algorithms, Snoek, Larochelle and Adams propose optimizing with respect to expected improvement per second to balance computation cost and performance loss. It might be interesting to see how this falls into your framework. Experimental results were presented clearly and well illustrated the usefulness of the metacontroller. I*m curious to see the results of using more metaexperts.","['3', '3', '3', '3']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[7, 2, 8, 11, 9, 13]","[13, 7, 14, 17, 15, 19]","[43, 9, 156, 209, 200, 93]","[25, 2, 63, 101, 81, 38]","[18, 6, 87, 98, 111, 49]","[0, 1, 6, 10, 8, 6]"
Mode Regularized Generative Adversarial Networks,Accept,2017,"['Tong Che', 'Yanran Li', 'Athul Jacob', 'Yoshua Bengio', 'Wenjie Li']","[6, 4, 7, 7]","['Marginally above acceptance threshold', 'Ok but not good enough - rejection', 'Good paper, accept', 'Good paper, accept']","The paper proposes two regularization approaches for training GAN, aiming to provide stronger gradient signal to move the generated distribution to data distribution and to avoid the generated distribution from getting trapped in only one or a few modes of the data distribution. The presented approaches are entirely based on some intuitive arguments. As such intuitions are interesting, likely useful, and deserve further exploration in a broader context, they stay as heuristics as this point. The paper will benefit from more rigorous theoretical justification of the presented approaches.","['5', '4', '4', '4']","['The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[6, 4, 2, 30, 23]","[12, 10, 7, 36, 28]","[38, 62, 13, 977, 241]","[14, 27, 6, 405, 144]","[18, 23, 7, 456, 29]","[6, 12, 0, 116, 68]"
Mollifying Networks,Accept,2017,"['Caglar Gulcehre', 'Marcin Moczulski', 'Francesco Visin', 'Yoshua Bengio']","[6, 6, 7]","['Marginally above acceptance threshold', 'Marginally above acceptance threshold', 'Good paper, accept']","The paper shows the relation between stochastically perturbing the parameter of a model at training time, and considering a mollified objective function for optimization. Aside from Eqs. 4-7 where I found hard to understand what the weak gradient g exactly represents, Eq. 8 is intuitive and the subsequent Section 2.3 clearly establishes for a given class of mollifiers the equivalence between minimizing the mollified loss and training under Gaussian parameter noise. The authors then introduce generalized mollifiers to achieve a more sophisticated annealing effect applicable to state-of-the-art neural network architectures (e.g. deep ReLU nets and LSTM recurrent networks). The resulting annealing effect can be counterintuitive: In Section 4, the Binomial (Bernoulli?) parameter grows from 0 (deterministic identity layers) to 1 (deterministic ReLU layers), meaning that the network goes initially through a phase of adding noise. This might effectively have the reverse effect of annealing. Annealing schemes used in practice seem very engineered (e.g. Algorithm 1 that determines how units are activated at a given layer consists of 9 successive steps). Due to the more conceptual nature of the authors contribution (various annealing schemes have been proposed, but the application of the mollifying framework is original), it could have been useful to reserve a portion of the paper to analyze simpler models with more basic (non-generalized) mollifiers. For example, I would have liked to see simple cases, where the perturbation schemes derived from the mollifier framework would be demonstrably more suitable for optimization than a standard heuristically defined perturbation scheme.","['4', '4', '5']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature']","[5, 4, 3, 30]","[11, 7, 7, 36]","[74, 14, 20, 977]","[28, 7, 8, 405]","[38, 7, 12, 456]","[8, 0, 0, 116]"
Multi-view Recurrent Neural Acoustic Word Embeddings,Accept,2017,"['Wanjia He', 'Weiran Wang', 'Karen Livescu']","[5, 6, 6]","['5', 'Marginally above acceptance threshold', 'Marginally above acceptance threshold']","Pros: Interesting training criterion. Cons: Missing proper ASR technique based baselines. Comments: The dataset is quite small. ROC curves for detection, and more measurements, e.g. EER would probably be helpful besides AP. More detailed analysis of the results would be necessary, e.g. precision of words seen during training compared to the detection performance of out-of-vocabulary words. It would be interesting to show scatter plots for embedding vs. orthographic distances.","['4', '4', '3']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[2, 8, 18]","[2, 14, 23]","[2, 107, 177]","[1, 54, 103]","[1, 49, 63]","[0, 4, 11]"
Multilayer Recurrent Network Models of Primate Retinal Ganglion Cell Responses,Accept,2017,"['Eleanor Batty', 'Josh Merel', 'Nora Brackbill', 'Alexander Heitman', 'Alexander Sher', 'Alan Litke', 'E.J. Chichilnisky', 'Liam Paninski']","[8, 7, 4]","['Top 50% of accepted papers, clear accept', 'Good paper, accept', 'Ok but not good enough - rejection']","This paper explores the ability of nonlinear recurrent neural networks to account for neural response properties that have otherwise eluded the ability of other models. A multilayer rnn is trained to imitate the stimulus-response mapping measured from actual retinal ganglion cells in response to a sequence of natural images. The rnn performs significantly better, especially in accounting for transient responses, than conventional LN/GLM models. This work is an important step in understanding the nonlinear response properties of visual neurons. Recent results have shown that the responses of even retinal ganglion cells in response to natural movies are difficult to explain in terms of standard receptive field models. So this presents an important challenge to the field. If we even had *a* model that works, it would be a starting point. So this work should be seen in that light. The challenge now of course is to tease apart what the rnn is doing. Perhaps it could now be pruned and simplified to see what parts are critical to performance. It would have been nice to see such an analysis. Nevertheless this result is a good first start and I think important for people to know about. I am a bit confused about what is being called a *movie.* My understanding is that it is essentially a sequence of unrelated images shown for 1 sec. each. But then it is stated that the *frame rate* is 1/8.33 ms. I think this must refer to the refresh rate of the monitor, right? I would guess that the deviations from the LN model are even stronger when you show actual dynamic natural scenes - i.e., real movies. Here I would expect the rnn to have an even more profound effect, and potentially be much more informative.","['5', '4', '4']","['The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[1, 6, 1, 1, 8, 8, 24, 17]","[5, 11, 6, 1, 14, 14, 30, 22]","[5, 49, 3, 1, 9, 11, 23, 108]","[4, 19, 2, 1, 7, 6, 16, 51]","[0, 25, 0, 0, 0, 0, 0, 8]","[1, 5, 1, 0, 2, 5, 7, 49]"
Neural Photo Editing with Introspective Adversarial Networks,Accept,2017,"['Andrew Brock', 'Theodore Lim', 'J.M. Ritchie', 'Nick Weston']","[6, 5, 6]","['Marginally above acceptance threshold', '5', 'Marginally above acceptance threshold']","The paper presents two main contributions: (1) A novel model visualization and photo manipulation technique that allows to transform an image using a paintbrush, much like in an image editing software. (2) A hybridization of GANs and VAEs called Introspective Adversarial Network. The main problem I have with the paper is that it feels very much like two papers in one with a very loose story tying the two together. On one hand, the neural photo editing technique is presented in sufficient detail to be reproducible and it is shown to be effective. I personally find the idea exciting, but in order for it to be of interest to the ICLR community I think more emphasis should be put on what insights such a technique allows to gain on trained models. On the other hand, the IAF model is introduced, along with multiple network architecture modifications for improving its performance. One criticism that I have regarding the presentation is that it makes it hard to assign credit to individual ideas when they are presented in a *list of things to make it work* fashion. I would like to see more empirical results in that direction to help clear up things. Overall I think the paper proposes interesting ideas, but given its lack of focus on a single, cohesive story I think it is not yet ready for publication. UPDATE: The rating has been updated to a 6 following the authors* reply.","['4', '3', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[2, 17, 14, 2]","[8, 22, 18, 3]","[32, 62, 38, 6]","[12, 28, 12, 2]","[19, 9, 4, 4]","[1, 25, 22, 0]"
Neural Program Lattices,Accept,2017,"['Chengtao Li', 'Daniel Tarlow', 'Alexander L. Gaunt', 'Marc Brockschmidt', 'Nate Kushman']","[4, 7, 7]","['Ok but not good enough - rejection', 'Good paper, accept', 'Good paper, accept']","First I would like to apologize for the late review. This paper proposes an extension of the NPI model (Reed & de Freitas) by using an extension of the probabilistic stacks introduced in Mikolov et al.. This allows them to train their model with less supervision than Reed & de Freitas. Overall the model is a nice extension of NPI. While it requires less supervision than NPI, it still requires *sequences of elementary operations paired with environment observations, and [...] a couple of examples which include the full abstraction hierarchy*. This may limit the scope of this work. The paper claims that their *method is leverages stronger supervision in the form of elementary action sequences rather than just input-output examples (sic). Such sequences are relatively easy to gather in many natural settings*. It would be great if the authors clarify what they mean by *relatively easy to gather in many natural settings*. They also claim that *the additional supervision improves the data efficiency and allow our technique to scale to more complicated problems*. However, this paper only addresses two toy problems which are neither *natural settings* nor of a large scale (or at least not larger than those addressed in the related literature, see Zaremba et al. for addition). In the introduction, the author states that *Existing techniques, however, cannot be applied on data like this because it does not contain the abstraction hierarchy.* What are the *existing techniques*, they are referring to? This work only addresses the problem of long addition and puzzle solving in a block world. Afaik, Zaremba et al. has shown that with no supervision, it can solve the long addition problem and Sukhbaatar et al. (*Mazebase: A sandbox for learning from games*) shows that a memory network can solve puzzles in a blockworld with little supervision. In the conclusion, the author states that *remarkably, NPL achieves state-of-the-art performances with much less supervision compared to existing models, making itself more applicable to real-world applications where full program traces are hard to get.* However for all the experiments, they *include a small number of FULL samples* (FULL == *samples with full program traces*). Unfortunately even if this means that they need less FULL examples, they still need *full program traces*, contradicting their final claim. Moreover, as shown figure 7, their model does not use a *small number of FULL samples* but rather a significantly smaller amount of FULL examples than NPI, i.e., 16 vs 128. *All experiments were run with 10 different random seeds*: does the environment change as well between the runs, i.e. are the FULL examples different between the runs? If it is the case and since you select the best run (on a validation set), the NPL model does not consume 16 FULL examples but 160 FULL examples for nanoCraft. Concerning the NanoCraft example, it would be good to have more details about how the examples are generated: how do you make sure that the train/val/test sets are different? How the rectangular shape are generated? If I consider all possible rectangles in a 6x6 grid, there are (6x6)x(6x6)/2 = 648 possibilities, thus taking 256 examples sum up to ~40% of the total number of rectangles. This does not even account for the fact that from an initial state, many rectangles can be made, making my estimate probably lower than the real coverage of examples. Concerning the addition, it would interesting to show what an LSTM would do: Take a 2 layer LSTM that takes the 2 current digits as an input and produce the current output ( *123+45* would be input[0] = [3,5], input[1]=[2,4], input[2]=[1, 0] and output[0] = 8...). I would be curious to see how such baseline would work. It can be trained on input/output and it is barely different from a standard sequence model. Also, would it be possible to compare with Zaremba et al.? Finally, as discussed previously with the authors, it would be good if they discuss more in length the relation between their probabilistic stacks and Mikolov et al.. They have a lot of similarities and it is not addressed in the current version. It should be addressed in the section describing the approach. I believe the authors agreed on this and I will wait for the updated version. Overall, it is a nice extension of Reed & de Freitas, but I*m a bit surprised by the lack of discussion about the rest of the literature (beside Reed & de Freitas, most previous work are only lightly discussed in the related work). This would have been fine if this paper would not suffer from a relatively weak experiment section that does not support the claims made in this work or show results that were not obtained by others before. Missing references: *Learning simple arithmetic procedures*, Cottrell et al. *Neural gpus learn algorithms*, Kaiser & Sutskever *Mazebase: A sandbox for learning from games*, Sukhbaatar et al. *Learning simple algorithms from examples*, Zaremba et al.","['4', '4', '5']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature']","[5, 12, 2, 8, 11]","[10, 18, 7, 14, 16]","[36, 83, 26, 75, 33]","[20, 46, 13, 41, 19]","[13, 35, 13, 29, 13]","[3, 2, 0, 5, 1]"
Neuro-Symbolic Program Synthesis,Accept,2017,"['Emilio Parisotto', 'Abdel-rahman Mohamed', 'Rishabh Singh', 'Lihong Li', 'Dengyong Zhou', 'Pushmeet Kohli']","[5, 7, 8]","['5', 'Good paper, accept', 'Top 50% of accepted papers, clear accept']","The paper presents a method to synthesize string manipulation programs based on a set of input output pairs. The paper focuses on a restricted class of programs based on a simple context free grammar sufficient to solve string manipulation tasks from the FlashFill benchmark. A probabilistic generative model called Recursive-Reverse-Recursive Neural Network (R3NN) is presented that assigns a probability to each program*s parse tree after a bottom-up and a top-down pass. Results are presented on a synthetic dataset and a Microsoft Excel benchmark called FlashFill. The problem of program synthesis is important with a lot of recent interest from the deep learning community. The approach taken in the paper based on parse trees and recursive neural networks seems interesting and promising. However, the model seems too complicated and unclear at several places (details below). On the negative side, the experiments are particularly weak, and the paper does not seem ready for publication based on its experimental results. I was positive about the paper until I realized that the method obtains an accuracy of 38% on FlashFill benchmark when presented with only 5 input-output examples but the performance degrades to 29% when 10 input-output examples are used. This was surprising to the authors too, and they came up with some hypothesis to explain this phenomenon. To me, this is a big problem indicating either a bug in the code or a severe shortcoming of the model. Any model useful for program synthesis needs to be applicable to many input-output examples because most complicated programs require many examples to disambiguate the details of the program. Given the shortcoming of the experiments, I am not convinced that the paper is ready for publication. Thus, I recommend weak reject. I encourage the authors to address the comments below and resubmit as the general idea seems promising. More comments: I am unclear about the model at several places: - How is the probability distribution normalized? Given the nature of bottom-up top-down evaluation of the potentials, should one enumerate over different completions of a program and the compare their exponentiated potentials? If so, does this restrict the applicability of the model to long programs as the enumeration of the completions gets prohibitively slow? - What if you only use 1 input-output pair for each program instead of 5? Do the results get better? - Section 5.1.2 is not clear to me. Can you elaborate by potentially including some examples? Does your input-output representation pre-supposes a fixed number of input-output examples across tasks (e.g. 5 or 10 for all of the tasks)? Regarding the experiments, - Could you present some baseline results on FlashFill benchmark based on previous work? - Is your method only applicable to short programs? (based on the choice of 13 for the number of instructions) - Does a program considered correct when it is identical to a test program, or is it considered correct when it succeeds on a set of held-out input-output pairs? - When using 100 or more program samples, do you report the accuracy of the best program out of 100 (i.e. recall) or do you first filter the programs based on training input-output pairs and then evaluate a program that is selected? Your paper is well beyond the recommended limit of 8 pages. please consider making it shorter.","['4', '3', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[3, 8, 9, 15, 17, 15]","[9, 14, 14, 20, 21, 21]","[32, 112, 133, 170, 62, 322]","[13, 50, 62, 89, 37, 180]","[17, 54, 50, 66, 17, 102]","[2, 8, 21, 15, 8, 40]"
Nonparametric Neural Networks,Accept,2017,"['George Philipp', 'Jaime G. Carbonell']","[7, 7, 5]","['Good paper, accept', 'Good paper, accept', '5']","This paper proposes a nonparametric neural network model, which automatically learns the size of the model during the training process. The key idea is to randomly add zero units and use sparse regularizer to automatically null out the weights that are irrelevant. The idea sounds to be a random search approach over discrete space with the help of sparse regularization to eliminate useless units. This is an important problem and the paper gives interesting results. My main comments are listed below: What is the additional computation complexity of the algorithm? The decomposition of each fan-in weights into a parallel component and an orthogonal component and the transformation into radial-angular coordinates may require a lot of extra computation time. The authors may need to discuss the extra amount of operations relative to the parametric neural network. Furthermore, it would be useful to show some running time experiments. It is observed that nonparametric networks return small networks on the convex dataset so that it is inferior to parametric networks. Any insight on this?","['3', '4', '4']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[1, 25]","[7, 31]","[20, 350]","[9, 196]","[11, 79]","[0, 75]"
