title,Authors,decision,year,academic_age,current_age,total_num_pub,total_num_conference,total_num_informal,total_num_journal,review,rating_score,rating_text,confidence_score,confidence_text
Predicting Floor-Level for 911 Calls with Neural Networks and Smartphone Sensor Data,"['William Falcon', 'Henning Schulzrinne']",Accept,2018,"[2, 33]","[6, 37]","[6, 406]","[2, 200]","[3, 116]","[1, 90]","Update: Based on the discussions and the revisions, I have improved my rating. However I still feel like the novelty is somewhat limited, hence the recommendation.

======================

The paper introduces a system to estimate a floor-level via their mobile device's sensor data using an LSTM to determine when a smartphone enters or exits a building, then using the change in barometric pressure from the entrance of the building to indoor location. Overall the methodology is a fairly simple application of existing methods to a problem, and  there remain some methodological issues (see below).

General Comments
- The claim that the bmp280 device is in most smartphones today doesn’t seem to be backed up by the “comScore” reference (a simple ranking of manufacturers).  Please provide the original source for this information.
- Almost all exciting results based on RNNs are achieved with LSTMs, so calling an RNN with LSTM hidden units a new name IOLSTM seems rather strange - this is simply an LSTM.
- There exist models for modelling multiple levels of abstraction, such as the contextual LSTM of [1]. This would be much more satisfying that the two level approach taken here, would likely perform better, would replace the need for the clustering method, and would solve issues such as the user being on the roof.  The only caveat is that it may require an encoding of the building (through a one-hot encoding) to ensure that the relationship between the floor height and barometric pressure is learnt. For unseen buildings a background class could be used, the estimators as used before, or aggregation of the other buildings by turning the whole vector on.
- It’s not clear if a bias of 1 was added to the forget gate of the LSTM or not. This has been shown to improve results [2].
- Overall the whole pipeline feels very ad-hoc, with many hand-tuned parameters.  Notwithstanding the network architecture, here I’m referring to the window for the barometric pressure, the Jaccard distance threshold, the binary mask lengths, and the time window for selecting p0.
- Are there plans to release the data and/or the code for the experiments? Currently the results would be impossible to reproduce.
- The typo of accuracy given by the authors is somewhat worrying, given that the result is repeated several times in the paper.

Typographical Issues
- Page 1:  ”floor-level accuracy” back ticks
- Page  4:   Figure  4.1→Figure  1;  Nawarathne  et  al  Nawarathne  et  al.→Nawarathne et al.
- Page 6:  ”carpet to carpet” back ticks
- Table 2:  What does -4+ mean?
- References.  The references should have capitalisation where appropriate.For example,  Iodetector→IODetector,  wi-fi→Wi-Fi,  apple→Apple, iphone→iPhone, i→I etc.

[1]  Shalini Ghosh, Oriol Vinyals, Brian Strope, Scott Roy, Tom Dean, and LarryHeck. Contextual LSTM (CLSTM) models for large scale NLP tasks. arXivpreprint arXiv:1602.06291, 2016.
[2]  Rafal Jozefowicz, Wojciech Zaremba, and Ilya Sutskever.  An empirical exploration of recurrent network architectures.  InProceedings of the 32nd International Conference on Machine Learning (ICML-15), pages 2342–2350,2015","[6, 6, 7]","[' Marginally above acceptance threshold', ' Marginally above acceptance threshold', ' Good paper, accept']","[4, 3, 5]","[' The reviewer is confident but not absolutely certain that the evaluation is correct', ' The reviewer is fairly confident that the evaluation is correct', ' The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature']"
Identifying Analogies Across Domains,"['Yedid Hoshen', 'Lior Wolf']",Accept,2018,"[6, 19]","[11, 24]","[74, 413]","[32, 213]","[41, 165]","[1, 35]","The paper presents a method for finding related images (analogies) from different domains based on matching-by-synthesis. The general idea is interesting and the results show improvements over previous approaches, such as CycleGAN (with different initializations, pre-learned or not). The algorithm is tested on three datasets.

While the approach has some strong positive points, such as good experiments and theoretical insights (the idea to match by synthesis and the proposed loss which is novel, and combines the proposed concepts), the paper lacks clarity and sufficient details.

Instead of the longer intro and related work discussion, I would prefer to see a Figure with the architecture and more illustrative examples to show that the insights are reflected in the experiments. Also, the matching part, which is discussed at the theoretical level, could be better explained and presented at a more visual level. It is hard to understand sufficiently well what the formalism means without more insight.

Also, the experiments need more details. For example, it is not clear what the numbers in Table 2 mean.



","[5, 4, 7]","[' Marginally below acceptance threshold', ' Ok but not good enough - rejection', ' Good paper, accept']","[4, 3, 4]","[' The reviewer is confident but not absolutely certain that the evaluation is correct', ' The reviewer is fairly confident that the evaluation is correct', ' The reviewer is confident but not absolutely certain that the evaluation is correct']"
Bi-Directional Block Self-Attention for Fast and Memory-Efficient Sequence Modeling,"['Tao Shen', 'Tianyi Zhou', 'Guodong Long', 'Jing Jiang', 'Chengqi Zhang']",Accept,2018,"[2, 10, 8, 8, 29]","[7, 15, 13, 13, 34]","[63, 112, 200, 123, 413]","[27, 55, 89, 59, 229]","[35, 48, 81, 54, 44]","[1, 9, 30, 10, 140]","This paper introduces bi-directional block self-attention model (Bi-BioSAN) as a general-purpose encoder for sequence modeling tasks in NLP. The experiments include tasks like natural language inference, reading comprehension (SquAD), semantic relatedness and sentence classifications. The new model shows decent performance when comparing with Bi-LSTM, CNN and other baselines while running at a reasonably fast speed.

The advantage of this model is that we can use little memory (as in RNNs) and enjoy the parallelizable computation as in (SANs), and achieve similar (or better) performance.

While I do appreciate the solid experiment section, I don't think the model itself is sufficient contribution for a publication at ICLR. First, there is not much innovation in the model architecture. The idea of the Bi-BioSAN model simply to split the sentence into blocks and compute self-attention for each of them, and then using the same mechanisms as a pooling operation followed by a fusion level. I think this more counts as careful engineering of the SAN model rather than a main innovation. Second, the model introduces much more parameters. In the experiments, it can easily use 2 times parameters than the commonly used encoders. What if we use the same amount of parameters for Bi-LSTM encoders? Will the gap between the new model and the commonly used ones be smaller?

====

I appreciate the answers the authors added and I change the score to 6.","[6, 6, 9]","[' Marginally above acceptance threshold', ' Marginally above acceptance threshold', ' Top 15% of accepted papers, strong accept']","[4, 4, 4]","[' The reviewer is confident but not absolutely certain that the evaluation is correct', ' The reviewer is confident but not absolutely certain that the evaluation is correct', ' The reviewer is confident but not absolutely certain that the evaluation is correct']"
WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling,"['Hao Zhang', 'Bo Chen', 'Dandan Guo', 'Mingyuan Zhou']",Accept,2018,"[4, 13, 8, 11]","[9, 18, 12, 16]","[41, 136, 32, 213]","[15, 46, 12, 99]","[12, 24, 9, 92]","[14, 66, 11, 22]","The authors propose a hybrid Bayesian inference approach for deep topic models that integrates stochastic gradient MCMC for global parameters and Weibull-based multilayer variational autoencoders (VAEs) for local parameters. The decoding arm of the VAE consists of deep latent Dirichlet allocation, and an upward-downward structure for the encoder. Gamma distributions are approximated as Weibull distributions since the Kullback-Leibler divergence is known and samples can be efficiently drawn from a transformation of samples from a uniform distribution. 

The results in Table 1 are concerning for several reasons, i) the proposed approach underperfroms DLDA-Gibbs and DLDA-TLASGR. ii) The authors point to the scalability of the mini-batch-based algorithms, however, although more expensive, DLDA-Gibbs, is not prohibitive given results for Wikipedia are provided. iii) The proposed approach is certainly faster at test time, however, it is not clear to me in which settings such speed (compared to Gibbs) would be needed, provided the unsupervised nature of the task at hand. iv) It is not clear to me why there is no test-time difference between WAI and WHAI, considering that in the latter, global parameters are sampled via stochastic-gradient MCMC. One possible explanation being that during test time, the approach does not use samples from W but rather a summary of them, say posterior means, in which case, it defeats the purpose of sampling from global parameters, which may explain why WAI and WHAI perform about the same in the 3 datasets considered.

- \Phi is in a subset of R_+, in fact, columns of \Phi are in the P_0-dimensional simplex.
- \Phi should have K_1 columns not K.
- The first paragraph in Page 5 is very confusing because h is introduced before explicitly connecting it to k and \lambda. Also, if k = \lambda, why introduce different notations?","[5, 6, 6]","[' Marginally below acceptance threshold', ' Marginally above acceptance threshold', ' Marginally above acceptance threshold']","[4, 4, 2]","[' The reviewer is confident but not absolutely certain that the evaluation is correct', ' The reviewer is confident but not absolutely certain that the evaluation is correct', ' The reviewer is willing to defend the evaluation, but it is quite likely that the reviewer did not understand central parts of the paper']"
Defense-GAN: Protecting Classifiers Against Adversarial Attacks Using Generative Models,"['Pouya Samangouei', 'Maya Kabkab', 'Rama Chellappa']",Accept,2018,"[4, 7, 38]","[6, 11, 43]","[16, 12, 910]","[9, 7, 494]","[6, 4, 140]","[1, 1, 276]","This paper presents a method to cope with adversarial examples in classification tasks, leveraging a generative model of the inputs.  Given an accurate generative model of the input, this approach first projects the input onto the manifold learned by the generative model (the idea being that inputs on this manifold reflect the non-adversarial input distribution).  This projected input is then used to produce the classification probabilities.  The authors test their method on various adversarially constructed inputs (with varying degrees of noise). 

Questions/Comments:

- I am interested in unpacking the improvement of Defense-GAN over the MagNet auto-encoder based method.  Is the MagNet auto-encoder suffering lower accuracy because the projection of an adversarial image is based on an encoding function that is learned only on true data?  If the decoder from the MagNet approach were treated purely as a generative model, and the same optimization-based projection approach (proposed in this work) was followed, would the results be comparable?  

- Is there anything special about the GAN approach, versus other generative approaches? 

- In the black-box vs. white-box scenarios, can the attacker know the GAN parameters?  Is that what is meant by the ""defense network"" (in experiments bullet 2)?

- How computationally expensive is this approach take compared to MagNet or other adversarial approaches? 

Quality: The method appears to be technically correct.

Clarity: This paper clearly written; both method and experiments are presented well. 

Originality: I am not familiar enough with adversarial learning to assess the novelty of this approach. 

Significance: I believe the main contribution of this method is the optimization-based approach to project onto a generative model's manifold.  I think this kernel has the potential to be explored further (e.g. computational speed-up, projection metrics).","[6, 6, 8]","[' Marginally above acceptance threshold', ' Marginally above acceptance threshold', ' Top 50% of accepted papers, clear accept']","[3, 3, 4]","[' The reviewer is fairly confident that the evaluation is correct', ' The reviewer is fairly confident that the evaluation is correct', ' The reviewer is confident but not absolutely certain that the evaluation is correct']"
Unsupervised Learning of Goal Spaces for Intrinsically Motivated Goal Exploration,"['Alexandre Péré', 'Sébastien Forestier', 'Olivier Sigaud', 'Pierre-Yves Oudeyer']",Accept,2018,"[1, 6, 19, 20]","[3, 11, 24, 25]","[6, 14, 139, 209]","[2, 6, 64, 92]","[3, 4, 44, 72]","[1, 4, 31, 45]","The paper investigates different representation learning methods to create a latent space for intrinsic goal generation in guided exploration algorithms.  The research is in principle very important and interesting.

The introduction discusses a great deal about intrinsic motivations and about goal generating algorithms. This is really great, just that the paper only focuses on a very small aspect of learning a state representation in an agent that has no intrinsic motivation other than trying to achieve random goals.
I think the paper (not only the Intro) could be a bit condensed to more concentrate on the actual contribution. 

The contribution is that the quality of the representation and the sampling of goals is important for the exploration performance and that classical methods like ISOMap are better than Autoencoder-type methods. 

Also, it is written in the Conclusions (and in other places): ""[..] we propose a new intrinsically Motivated goal exploration strategy...."". This is not really true.  There is nothing new with the intrinsically motivated selection of goals here, just that they are in another space. Also, there is no intrinsic motivation. I also think the title is misleading.

The paper is in principle interesting. However, I doubt that the experimental evaluations are substantial enough for profound conclusion. 

Several points of critic: 
- the input space was very simple in all experiments, not suitable for distinguishing between the algorithms, for instance, ISOMap typically suffers from noise and higher dimensional manifolds, etc.
- only the ball/arrow was in the input image, not the robotic arm. I understand this because in phase 1 the robot would not move, but this connects to the next point:
- The representation learning is only a preprocessing step requiring a magic first phase.
    -> Representation is not updated during exploration
- The performance of any algorithm (except FI) in the Arm-Arrow task is really bad but without comment. 
- I am skeptical about the VAE  and RFVAE results. The difference between Gaussian sampling and the KDE is a bit alarming, as the KL in the VAE training is supposed to match the p(z) with N(0,1). Given the power of the encoder/decoder it should be possible to properly represent the simple embedded 2D/3D manifold and not just a very small part of it as suggested by Fig 10. 
I have a hard time believing these results. I urge you to check for any potential errors made. If there are not mistakes then this is indeed alarming.

Questions:
- Is it true that the robot always starts from same initial condition?! Context=Emptyset. 
- For ISOMap etc, you also used a 10dim embedding?

Suggestion:
- The main problem seems to be that some algorithms are not representing the whole input space.
- an additional measure that quantifies the difference between true input distribution and reproduced input distribution could tier the algorithms apart and would measure more what seems to be relevant here.  One could for instance measure the KL-divergence between the true input and the sampled (reconstructed) input (using samples and KDE or the like). 
- This could be evaluated on many different inputs (also those with a bit more complicated structure) without actually performing the goal finding.
- BTW: I think Fig 10 is rather illustrative and should be somehow in the main part of the paper
 
On the positive side, the paper provides lots of details in the Appendix.
Also, it uses many different Representation Learning algorithms and uses measures from manifold learning to access their quality.

In the related literature, in particular concerning the intrinsic motivation, I think the following papers are relevant:
J. Schmidhuber, PowerPlay: training an increasingly general problem solver by continually searching for the simplest still unsolvable problem. Front. Psychol., 2013.

and

G. Martius, R. Der, and N. Ay. Information driven self-organization of complex robotic behaviors. PLoS ONE, 8(5):e63400, 2013.


Typos and small details:
p3 par2: for PCA you cited Bishop. Not critical, but either cite one the original papers or maybe remove the cite altogether
p4 par-2: has multiple interests...: interests -> purposes?
p4 par-1: Outcome Space to the agent is is ...
Sec 2.2 par1: are rapidly mentioned... -> briefly
Sec 2.3 ...Outcome Space O, we can rewrite the architecture as:
  and then comes the algorithm. This is a bit weird
Sec 3: par1: experimental campaign -> experiments?
p7: Context Space: the object was reset to a random position or always to the same position?
Footnote 14: superior to -> larger than
p8 par2: Exploration Ratio Ratio_expl... probably also want to add (ER) as it is later used
Sec 4: slightly underneath -> slightly below
p9 par1: unfinished sentence: It is worth noting that the....
one sentence later: RP architecture? RPE?
Fig 3: the error of the methods (except FI) are really bad. An MSE of 1 means hardly any performance!
p11 par2: for e.g. with the SAGG..... grammar?

Plots in general: use bigger font sizes.

","[7, 6, 7]","[' Good paper, accept', ' Marginally above acceptance threshold', ' Good paper, accept']","[4, 2, 4]","[' The reviewer is confident but not absolutely certain that the evaluation is correct', ' The reviewer is willing to defend the evaluation, but it is quite likely that the reviewer did not understand central parts of the paper', ' The reviewer is confident but not absolutely certain that the evaluation is correct']"
Word translation without parallel data,"['Guillaume Lample', 'Alexis Conneau', ""Marc'Aurelio Ranzato"", 'Ludovic Denoyer', 'Hervé Jégou']",Accept,2018,"[4, 3, 13, 16, 16]","[9, 8, 18, 20, 21]","[51, 56, 106, 147, 178]","[24, 27, 57, 88, 89]","[27, 29, 44, 40, 59]","[0, 0, 5, 19, 30]","An unsupervised approach is proposed to build bilingual dictionaries without parallel corpora, by aligning the monolingual word embeddings spaces, i.a. via adversarial learning.

The paper is very well-written and makes for a rather pleasant read, save for some need for down-toning the claims to novelty as voiced in the comment re: Ravi & Knight (2011) or simply in general: it's a very nice paper, I enjoy reading it *in spite*, and not *because* of the text sales-pitching itself at times.

There are some gaps in the awareness of the related work in the sub-field of bilingual lexicon induction, e.g. the work by Vulic & Moens (2016).

The evaluation is for the most part intrinsic, and it would be nice to see the approach applied downstream beyond the simplistic task of English-Esperanto translation: plenty of outlets out there for applying multilingual word embeddings. Would be nice to see at least some instead of the plethora of intrinsic evaluations of limited general interest.

In my view, to conclude, this is still a very nice paper, so I vote clear accept, in hope to see these minor flaws filtered out in the revision.","[8, 9, 3]","[' Top 50% of accepted papers, clear accept', ' Top 15% of accepted papers, strong accept', ' Clear rejection']","[3, 4, 5]","[' The reviewer is fairly confident that the evaluation is correct', ' The reviewer is confident but not absolutely certain that the evaluation is correct', ' The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature']"
Critical Points of Linear Neural Networks: Analytical Forms and Landscape Properties,"['Yi Zhou', 'Yingbin Liang']",Accept,2018,"[4, 15]","[8, 20]","[81, 275]","[37, 112]","[36, 99]","[8, 64]","Authors of this paper provided full characterization of the analytical forms of the critical points for the square loss function of three types of neural networks: shallow linear networks, deep linear networks and shallow ReLU nonlinear networks. The analytical forms of the critical points have direct implications on the values of the corresponding loss functions, achievement of global minimum, and various landscape properties around these critical points.

The paper is well organized and well written. Authors exploited the analytical forms of the critical points to provide a new proof for characterizing the landscape around the critical points. This technique generalizes existing work under full relaxation of assumptions. In the linear network with one hidden layer, it generalizes the work Baldi & Hornik (1989) with arbitrary network parameter dimensions and any data matrices; In the deep linear networks, it generalizes the result in Kawaguchi (2016) under no assumptions on the network parameters and data matrices. Moreover, it also provides new characterization for shallow ReLU nonlinear networks, which is not discussed in previous work.

The results obtained from the analytical forms of the critical points are interesting, but one problem is that how to obtain the proper solution of equation (3)? In the Example 1, authors gave a concrete example to demonstrate both local minimum and local maximum do exist in the shallow ReLU nonlinear networks by properly choosing these matrices satisfying (12). It will be interesting to see how to choose these matrices for all the studied networks with some concrete examples.","[7, 7, 6]","[' Good paper, accept', ' Good paper, accept', ' Marginally above acceptance threshold']","[3, 5, 4]","[' The reviewer is fairly confident that the evaluation is correct', ' The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', ' The reviewer is confident but not absolutely certain that the evaluation is correct']"
Meta-Learning and Universality: Deep Representations and Gradient Descent can Approximate any Learning Algorithm,"['Chelsea Finn', 'Sergey Levine']",Accept,2018,"[6, 10]","[11, 15]","[306, 743]","[128, 326]","[172, 396]","[6, 21]","The paper provides proof that gradient-based meta-learners (e.g. MAML) are ""universal leaning algorithm approximators"".

Pro:
- Generally well-written with a clear (theoretical) goal
- If the K-shot proof is correct*, the paper constitutes a significant contribution to the theoretical understanding of meta-learning.
- Timely and relevant to a large portion of the ICLR community (assuming the proofs are correct)

Con:
- The theoretical and empirical parts seem quite disconnected. The theoretical results are not applied nor demonstrated in the empirical section and only functions as an underlying premise. I wonder if a purely theoretical contribution would be preferable (or with even fewer empirical results).

* It has not yet been possible for me to check all the technical details and proofs.
","[7, 6, 6]","[' Good paper, accept', ' Marginally above acceptance threshold', ' Marginally above acceptance threshold']","[1, 1, 3]","["" The reviewer's evaluation is an educated guess"", "" The reviewer's evaluation is an educated guess"", ' The reviewer is fairly confident that the evaluation is correct']"
Maximum a Posteriori Policy Optimisation,"['Abbas Abdolmaleki', 'Jost Tobias Springenberg', 'Yuval Tassa', 'Remi Munos', 'Nicolas Heess', 'Martin Riedmiller']",Accept,2018,"[8, 7, 12, 23, 10, 26]","[13, 12, 17, 28, 15, 31]","[69, 76, 51, 266, 200, 168]","[33, 37, 23, 143, 81, 100]","[30, 35, 24, 96, 111, 47]","[6, 4, 4, 27, 8, 21]","The paper presents a new algorithm for inference-based reinforcement learning for deep RL. The algorithm decomposes the policy update in two steps, an E and an M-step. In the E-step, the algorithm estimates a variational distribution q which is subsequentially used for the M-step to obtain a new policy. Two versions of the algorithm are presented, using a parametric or a non-parametric (sample-based) distribution for q. The algorithm is used in combination with the retrace algorithm to estimate the q-function, which is also needed in the policy update.

This is a well written paper presenting an interesting algorithm. The algorithm is similar to other inference-based RL algorithm, but is the first application of inference based RL to deep reinforcement learning. The results look very promising and define a new state of the art or deep reinforcement learning in continuous control, which is a very active topic right now. Hence, I think the paper should be accepted. 


I do have a few comments / corrections / questions about the paper:

- There are several approaches that already use the a combination of the KL-constraint with reverse KL on a non-parametric distribution and subsequently an M-projection to obtain again a parametric distribution, see HiREPS, non-parametric REPS [Hoof2017, JMLR] or AC-REPS [Wirth2016, AAAI]. These algorithms do not use the inference-based view but the trust region justification. As in the non-parametric case, the asymptotic performance guarantees from the EM framework are gone, why is it beneficial to formulate it with EM instead of directly with a trust region of the expected reward?

- It is not clear to me whether the algorithm really optimizes the original maximum a posteriori objective defined in Equation 1. First, alpha changes every iteration of the algorithm while the objective assumes that alpha is constant. This means that we change the objective all the time which is theoretically a bit weird. Moreover, the presented algorithm also changes the prior all the time (in order to introduce the 2nd trust region) in the M-step. Again, this changes the objective, so it is unclear to me what exactly is maximised in the end. Would it not be cleaner to start with the average reward objective (no prior or alpha) and then introduce both trust regions just out of the motivation that we need trust regions in policy search? Then the objective is clearly defined.    

- I did not get whether the additional ""one-step KL regularisation"" is obtained from the lower bound or just added as additional regularisation? Could you explain?

- The algorithm has now 2 KL constraints, for E and M step. Is the epsilon for both the same or can we achieve better performance by using different epsilons?

- I think the following experiments would be very informative:

   - MPO without trust region in M-step
   
   - MPO without retrace algorithm for getting the Q-value

   - test different epsilons for E and M step


","[7, 5, 6]","[' Good paper, accept', ' Marginally below acceptance threshold', ' Marginally above acceptance threshold']","[5, 4, 1]","[' The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', ' The reviewer is confident but not absolutely certain that the evaluation is correct', "" The reviewer's evaluation is an educated guess""]"
