Title,Authors,recommendation
Regularized Learning for  Domain Adaptation under Label Shifts,"['Kamyar Azizzadenesheli', 'Anqi Liu', 'Fanny Yang', 'Animashree Anandkumar']",Accept (Poster)
"Towards Robust, Locally Linear Deep Networks","['Guang-He Lee', 'David Alvarez-Melis', 'Tommi S. Jaakkola']",Accept (Poster)
Generative Adversarial Models for Learning Private and Fair Representations,"['Chong Huang', 'Xiao Chen', 'Peter Kairouz', 'Lalitha Sankar', 'Ram Rajagopal']",Reject
Generative Adversarial Self-Imitation Learning,"['Junhyuk Oh', 'Yijie Guo', 'Satinder Singh', 'Honglak Lee']",Reject
INFORMATION MAXIMIZATION AUTO-ENCODING,"['Dejiao Zhang', 'Tianchen Zhao', 'Laura Balzano']",Reject
Variadic Learning by Bayesian Nonparametric Deep Embedding,"['Kelsey R Allen', 'Hanul Shin', 'Evan Shelhamer', 'Josh B. Tenenbaum']",Reject
DL2: Training and Querying Neural Networks with Logic,"['Marc Fischer', 'Mislav Balunovic', 'Dana Drachsler-Cohen', 'Timon Gehr', 'Ce Zhang', 'Martin Vechev']",Reject
Local Image-to-Image Translation via Pixel-wise Highway Adaptive Instance Normalization,"['Wonwoong Cho', 'Seunghwan Choi', 'Junwoo Park', 'David Keetae Park', 'Tao Qin', 'Jaegul Choo']",Reject
The Limitations of Adversarial Training and the Blind-Spot Attack,"['Huan Zhang*', 'Hongge Chen*', 'Zhao Song', 'Duane Boning', 'Inderjit S. Dhillon', 'Cho-Jui Hsieh']",Accept (Poster)
Learning to Learn without Forgetting by Maximizing Transfer and Minimizing Interference,"['Matthew Riemer', 'Ignacio Cases', 'Robert Ajemian', 'Miao Liu', 'Irina Rish', 'Yuhai Tu', 'and Gerald Tesauro']",Accept (Poster)
Inference of unobserved event streams with neural Hawkes particle smoothing,"['Hongyuan Mei', 'Guanghui Qin', 'Jason Eisner']",Reject
Global-to-local Memory Pointer Networks for Task-Oriented Dialogue,"['Chien-Sheng Wu', 'Richard Socher', 'Caiming Xiong']",Accept (Poster)
Rethinking the Value of Network Pruning,"['Zhuang Liu', 'Mingjie Sun', 'Tinghui Zhou', 'Gao Huang', 'Trevor Darrell']",Accept (Poster)
A Better Baseline for Second Order Gradient Estimation in Stochastic Computation Graphs,"['Jingkai Mao', 'Jakob Foerster', 'Tim Rocktäschel', 'Gregory Farquhar', 'Maruan Al-Shedivat', 'Shimon Whiteson']",Reject
Probabilistic Neural-Symbolic Models for Interpretable Visual Question Answering,"['Ramakrishna Vedantam', 'Stefan Lee', 'Marcus Rohrbach', 'Dhruv Batra', 'Devi Parikh']",Reject
