review,reasoning,sentiment_score,politeness_score
"The paper address the problem of detecting if an example is misclassified or out-of-distribution. This is an very important topic and the study provides a good baseline. Although it misses strong novel methods for the task, the study contributes to the community.","The reviewer acknowledges the importance of the topic and recognizes the contribution of the study to the community, which indicates a positive sentiment. However, they also mention that the paper misses strong novel methods, which slightly dampens the positivity. The language used is formal and constructive without any harsh or rude words, indicating a high level of politeness.",50,90
"This paper proposed a compare-aggregate model for the NLP tasks that require semantically comparing the text sequences, such as question answering and textual entailment. The basic framework of this model is to apply a convolutional neural network (aggregation) after a element-wise operation (comparison) over the attentive outputs of the LSTMs. The highlighted part is the comparison, where this paper compares several different methods for matching text sequences, and the element-wise subtraction/multiplication operations are demonstrated to achieve generally better performance on four different datasets. While the weak point is that this is an incremental work and a bit lack of innovation. A qualitative evaluation about how subtraction, multiplication and other comparison functions perform on varied kinds of sentences would be more interesting.","The review starts by summarizing the paper's approach and acknowledges the strengths of the proposed model, particularly its performance on different datasets. However, it also points out that the work is incremental and lacks innovation, suggesting that a more in-depth qualitative evaluation would be beneficial. The sentiment is somewhat mixed, recognizing positive aspects but also highlighting a significant limitation. The language used is formal and constructive, without any harsh or disrespectful wording, indicating a polite tone.",25,75
"Summary === This paper proposes the Neural Physics Engine (NPE), a network architecture which simulates object interactions. While NPE decides to explicitly represent objects (rather than video frames), it incorporates knowledge of physics almost exclusively through training data. It is tested in a toy domain with bouncing 2d balls. The proposed architecture processes each object in a scene one at a time. Pairs of objects are embedded in a common space where the effect of the objects on each other can be represented. These embeddings are summed and combined with the focus object*s state to predict the focus object*s change in velocity. Alternative baselines are presented which either forego the pairwise embedding for a single object embedding or encode a focus object*s neighbors in a sequence of LSTM states. NPE outperforms the baselines dramatically, showing the importance of architecture choices in learning to do this object based simulation. The model is tested in multiple ways. Ability to predict object trajectory over long time spans is measured. Generalization to different numbers of objects is measured. Generalization to slightly altered environments (difference shaped walls) is measured. Finally, the NPE is also trained to predict object mass using only interactions with other objects, where it also outperforms baselines. Comments === * I have one more clarifying question. Are the inputs to the blue box in figure 3 (b)/(c) the concatenation of the summed embeddings and state vector of object 3? Or is the input to the blue module some other combination of the two vectors? * Section 2.1 begins with *First, because physics does not change across inertial frames, it suffices to separately predict the future state of each object conditioned on the past states of itself and the other objects in its neighborhood, similar to Fragkiadaki et al. (2015).* I think this is an argument to forego the visual representation used by previous work in favor of an object only representation. This would be more clear if there were contrast with a visual representation. * As addressed in the paper, this approach is novel, though less so after taking into consideration the concurrent work of Battaglia et. al. in NIPS 2016 titled *Interaction Networks for Learning about Objects, Relations and Physics.* This work offers a different network architecture and set of experiments, as well as great presentation, but the use of an object based representation for learning to predict physical behavior is shared. Overall Evaluation === This paper was a pleasure to read and provided many experiments that offered clear and interesting conclusions. It offers a novel approach (though less so compared to the concurrent work of Battaglia et. al. 2016) which represents a significant step forward in the current investigation of intuitive physics.","The reviewer's sentiment appears to be quite positive, as indicated by phrases such as 'a pleasure to read' and 'offers a novel approach,' which suggest that the reviewer appreciates the work. The reviewer also acknowledges the paper's 'clear and interesting conclusions' and describes it as a 'significant step forward.' However, the reviewer does note that the novelty is somewhat diminished by concurrent work, which slightly tempers the positivity. The language used is very polite and academic, with no signs of rudeness or disrespect. The reviewer uses constructive language and phrases their questions and comments in a respectful manner.",80,90
"This paper addresses the problem of efficient neural stylization. Instead of training a separate network for N different styles (as is done, e.g., in Johnson et al.), this paper extends the instance normalization work of Ulyanov et al. to train a single network and learn a smaller set “conditional instance normalization” parameters dependent on the desired output style. The conditional instance normalization applies a learnt affine transformation on normalized feature maps at each layer in the network. Qualitative results are shown. I have not worked in this area, but I’m generally aware of the main issues in transferring artistic style. The paper addresses a known challenge of incorporating different styles into the same net, which have a number of practical benefits. As far as I can tell the results look compelling. As I’m less confident in my expertise in this area, I’m happy to support another reviewer who is willing to champion this paper. My main comments are on the paper writing. As far as I understand, the main novelty of the approach starts in Section 2.2, and before that is review of prior art. If this is indeed the case, one suggestion is to remove the subsection heading for 2.1 so it’s grouped with the first part of Section 2, and to cite related work for the feedforward network (e.g., Johnson et al.) in the text and in Fig 2 so it’s clear. In fact, I’m wondering if Figs 2 and 3 can be combined somehow so that the contribution is clearer in the figures. I was at first confused by Eq (5) as x and z are not defined anywhere. Also, it may be helpful to write out everything explicitly as is done in the instance normalization paper. In Eq (4), perhaps you could write T_s to emphasize that there are separate networks for different styles. Fig 5 left: I’m assuming the different colors correspond to the different styles. If so, perhaps mention this in the caption. Also, this figure is hard to read. Maybe instead show single curves with error bars that are averages over the loss curves for N-styles and individual styles. Typos: Page 1: Shouldn’t it be “VGG-16” network (not *VGG-19”)? Page 2: “newtork” => “network”. Paragraph after Eq. (5): “much less” => “fewer”.","The reviewer's sentiment appears to be cautiously positive. They acknowledge the paper's approach to a known challenge and practical benefits, and they find the results compelling, although they admit to not being an expert in the field. The language used is constructive and respectful, with suggestions for improvement rather than harsh criticism. The reviewer uses phrases like 'As far as I can tell' and 'I'm happy to support another reviewer,' which indicate a positive but reserved stance. The language is polite and focused on providing constructive feedback, with no signs of rudeness or disrespect.",60,90
"I like the idea in this paper that use not just one but multiple attentional vectors to extract multiple representations for a sentence. The authors have demonstrated consistent gains across three different tasks Age, Yelp, & SNLI. However, I*d like to see more analysis on the 2D representations (as concerned by another reviewer) to be convinced. Specifically, r=30 seems to be a pretty large value when applying to short sentences like tweets or those in the SNLI dataset. I*d like to see the effect of varying r from small to large value. With large r value, I suspect your models might have an advantage in having a much larger number of parameters (specifically in the supervised components) compare to other models. To make it transparent, the model sizes should be reported. I*d also like to see performances on the dev sets or learning curves. In the conclusion, the authors remark that *attention mechanism reliefs the burden of LSTM*. If the 2D representations are effective in that aspect, I*d expect that the authors might be able to train with a smaller LSTM. Testing the effect of LSTM dimension vs will be helpful. Lastly, there is a problem in the presentation of the paper in which there is no training objective defined. Readers have to read until the experimental sections to guess that the authors perform supervised learning and back-prop through the self-attention mechanism as well as the LSTM. * Minor comments: Typos: netowkrs, toghter, performd Missing year for the citation of (Margarit & Subramaniam) In figure 3, attention plotswith and without penalization look similar.","The reviewer's sentiment appears to be cautiously optimistic, acknowledging the paper's strengths in using multiple attentional vectors and demonstrating consistent gains across tasks. However, the reviewer also expresses a desire for more analysis and transparency, particularly regarding the 2D representations and model sizes. The language used is constructive and focuses on areas for improvement without being dismissive or overly critical. The use of polite language such as 'I'd like to see' and 'I suspect' indicates a respectful tone, and the reviewer provides specific recommendations for improvement. The minor comments about typos and missing citations are also presented in a helpful manner, contributing to the overall politeness of the review.",30,80
"This is a good paper with an interesting probabilistic motivation for weighted bag of words models. The (hopefully soon) added comparison to Wang and Manning will make it stronger. Though it is sad that for sufficiently large datasets, NB-SVM still works better. In the second to last paragraph of the introduction you describe a problem of large cooccurrence counts which was already fixed by the Glove embeddings with their weighting function f. Minor comments: *The capturing the similarities* -- typo in line 2 of intro. *Recently, (Wieting et al.,2016) learned* -- use citet instead of parenthesized citation","The reviewer's sentiment appears to be generally positive, as they describe the paper as 'good' and acknowledge the 'interesting probabilistic motivation' for the model. However, there is a slight negative sentiment when they mention that 'it is sad that for sufficiently large datasets, NB-SVM still works better,' indicating a limitation of the work. The language used is polite and constructive, with suggestions for improvement and a mention of a typo and citation style, but without any harsh or rude comments.",60,80
"The authors of the paper set out to answer the question whether chaotic behaviour is a necessary ingredient for RNNs to perform well on some tasks. For that question*s sake, they propose an architecture which is designed to not have chaos. The subsequent experiments validate the claim that chaos is not necessary. This paper is refreshing. Instead of proposing another incremental improvement, the authors start out with a clear hypothesis and test it. This might set the base for future design principles of RNNs. The only downside is that the experiments are only conducted on tasks which are known to be not that demanding from a dynamical systems perspective; it would have been nice if the authors had traversed the set of data sets more to find data where chaos is actually necessary.","The reviewer's sentiment appears to be largely positive, as they describe the paper as 'refreshing' and appreciate the clear hypothesis and testing approach. The reviewer also acknowledges the paper's potential influence on future design principles of RNNs. However, there is a slight critique regarding the scope of experiments, suggesting that the sentiment is not entirely positive. The language used is polite and constructive, with no negative or rude words used, and the critique is presented in a respectful manner.",70,90
"This paper provides an interesting idea, which extends GAN by taking into account bidirectional network. Totally, the paper is well-written, and easy to follow what is contribution of this paper. From the theoretical parts, the proposed method, BiGAN, inherits similar properties in GAN. The experimental results show that BiGAN is competitive with other methods. A drawback would a non-convex optimization problem in BiGAN, this paper is still suitable to be accepted in my opinion.","The reviewer's sentiment appears to be generally positive, as they describe the paper as 'interesting', 'well-written', and 'easy to follow'. They acknowledge the paper's contribution and note that the proposed method is competitive with other methods. The use of 'totally' and 'still suitable to be accepted' also conveys a positive sentiment. However, they do mention a drawback, which slightly moderates the overall positive sentiment. The language used is polite and constructive, with no negative or rude language present. The reviewer provides their opinion in a respectful manner, which is typical for academic discourse.",70,90
"This paper has two main contributions: (1) Applying adversarial training to imagenet, a larger dataset than previously considered (2) Comparing different adversarial training approaches, focusing importantly on the transferability of different methods. The authors also uncover and explain the label leaking effect which is an important contribution. This paper is clear, well written and does a good job of assessing and comparing adversarial training methods and understanding their relation to one another. A wide range of empirical results are shown which helps elucidate the adversarial training procedure. This paper makes an important contribution towards understand adversarial training and believe ICLR is an appropriate venue for this work.","The reviewer's sentiment is positive, as indicated by the use of phrases like 'important contribution', 'clear, well written', and 'does a good job'. There is no negative language or criticism in the first paragraph, and the reviewer expresses a belief that the paper is suitable for the venue. The language used is polite and professional, with a focus on the paper's strengths and contributions. The reviewer uses respectful language and provides a positive assessment without any harsh or rude comments.",90,90
"The authors propose to apply virtual adversarial training to semi-supervised classification. It is quite hard to assess the novelty on the algorithmic side at this stage: there is a huge available literature on semi-supervised learning (especially SVM-related literature, but some work were applied to neural networks too); unfortunately the authors do not mention it, nor relate their approach to it, and stick to the adversarial world. In terms of novelty on the adversarial side, the authors propose to add perturbations at the level of words embeddings, rather than the input itself (having in mind applications to NLP). Concerning the experimental section, authors focus on text classification methods. Again, comparison with the existing SVM-related literature is important to assess the viability of the proposed approach; for example (Wang et al, 2012) report 8.8% on IMBD with a very simple linear SVM (without transductive setup). Overall, the paper reads well and propose a semi-supervised learning algorithm which is shown to work in practice. Theoretical and experimental comparison with past work is missing.","The reviewer's sentiment appears neutral to slightly critical, as they acknowledge the paper reads well and the algorithm works in practice, but also point out significant gaps in the literature review and comparison with existing work. There is no overt praise or enthusiasm, but neither is there harsh criticism. The language used is formal and constructive, without any personal attacks or overly harsh wording, indicating a polite tone.",0,80
