title,decision,year,Authors,rating_score,rating_text,review,confidence_score,confidence_text,academic_age,current_age,total_num_pub,total_num_conference,total_num_informal,total_num_journal,reasoning,sentiment_score,politeness_score
A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,Accept,2017,"['Dan Hendrycks', 'Kevin Gimpel']","[6, 6, 6]","['Marginally above acceptance threshold', 'Marginally above acceptance threshold', 'Marginally above acceptance threshold']","The paper address the problem of detecting if an example is misclassified or out-of-distribution. This is an very important topic and the study provides a good baseline. Although it misses strong novel methods for the task, the study contributes to the community.","['3', '3', '3']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[2, 10]","[8, 16]","[64, 161]","[25, 90]","[37, 66]","[2, 5]","The sentiment score is 50 (slightly positive) because the reviewer acknowledges the importance of the topic and states that the study provides a good baseline and contributes to the community. However, it's not overwhelmingly positive as the reviewer notes that it 'misses strong novel methods for the task'. The politeness score is 50 (moderately polite) because the language used is professional and respectful. The reviewer offers a balanced view, highlighting both strengths and limitations without using harsh or critical language. The tone is constructive and appreciative of the work's contribution, even while pointing out areas for improvement.",50,50
A Compare-Aggregate Model for Matching Text Sequences,Accept,2017,"['Shuohang Wang', 'Jing Jiang']","[6, 7, 8]","['Marginally above acceptance threshold', 'Good paper, accept', 'Top 50% of accepted papers, clear accept']","This paper proposed a compare-aggregate model for the NLP tasks that require semantically comparing the text sequences, such as question answering and textual entailment. The basic framework of this model is to apply a convolutional neural network (aggregation) after a element-wise operation (comparison) over the attentive outputs of the LSTMs. The highlighted part is the comparison, where this paper compares several different methods for matching text sequences, and the element-wise subtraction/multiplication operations are demonstrated to achieve generally better performance on four different datasets. While the weak point is that this is an incremental work and a bit lack of innovation. A qualitative evaluation about how subtraction, multiplication and other comparison functions perform on varied kinds of sentences would be more interesting.","['4', '5', '5']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature']","[3, 13]","[9, 19]","[94, 145]","[43, 105]","[50, 29]","[1, 11]","The sentiment score is slightly positive (20) because the reviewer acknowledges the paper's contributions and its performance on multiple datasets. However, they also point out that it's an incremental work lacking innovation, which tempers the positivity. The politeness score is moderately positive (50) as the reviewer uses neutral language and offers constructive criticism without harsh words. They balance positive aspects ('better performance') with areas for improvement ('lack of innovation') in a professional manner. The reviewer also suggests additional analysis that would be 'interesting', which is a polite way of recommending improvements.",20,50
A Compositional Object-Based Approach to Learning Physical Dynamics,Accept,2017,"['Michael Chang', 'Tomer Ullman', 'Antonio Torralba', 'Joshua Tenenbaum']","[9, 7, 6]","['9', 'Good paper, accept', 'Marginally above acceptance threshold']","Summary === This paper proposes the Neural Physics Engine (NPE), a network architecture which simulates object interactions. While NPE decides to explicitly represent objects (rather than video frames), it incorporates knowledge of physics almost exclusively through training data. It is tested in a toy domain with bouncing 2d balls. The proposed architecture processes each object in a scene one at a time. Pairs of objects are embedded in a common space where the effect of the objects on each other can be represented. These embeddings are summed and combined with the focus object*s state to predict the focus object*s change in velocity. Alternative baselines are presented which either forego the pairwise embedding for a single object embedding or encode a focus object*s neighbors in a sequence of LSTM states. NPE outperforms the baselines dramatically, showing the importance of architecture choices in learning to do this object based simulation. The model is tested in multiple ways. Ability to predict object trajectory over long time spans is measured. Generalization to different numbers of objects is measured. Generalization to slightly altered environments (difference shaped walls) is measured. Finally, the NPE is also trained to predict object mass using only interactions with other objects, where it also outperforms baselines. Comments === * I have one more clarifying question. Are the inputs to the blue box in figure 3 (b)/(c) the concatenation of the summed embeddings and state vector of object 3? Or is the input to the blue module some other combination of the two vectors? * Section 2.1 begins with *First, because physics does not change across inertial frames, it suffices to separately predict the future state of each object conditioned on the past states of itself and the other objects in its neighborhood, similar to Fragkiadaki et al. (2015).* I think this is an argument to forego the visual representation used by previous work in favor of an object only representation. This would be more clear if there were contrast with a visual representation. * As addressed in the paper, this approach is novel, though less so after taking into consideration the concurrent work of Battaglia et. al. in NIPS 2016 titled *Interaction Networks for Learning about Objects, Relations and Physics.* This work offers a different network architecture and set of experiments, as well as great presentation, but the use of an object based representation for learning to predict physical behavior is shared. Overall Evaluation === This paper was a pleasure to read and provided many experiments that offered clear and interesting conclusions. It offers a novel approach (though less so compared to the concurrent work of Battaglia et. al. 2016) which represents a significant step forward in the current investigation of intuitive physics.","['4', '4', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[2, 9, 19, 24]","[8, 15, 25, 30]","[19, 39, 391, 610]","[8, 28, 204, 353]","[11, 8, 145, 226]","[0, 3, 42, 31]","The sentiment score is 80 (positive) because the reviewer expresses clear appreciation for the paper, calling it 'a pleasure to read' and stating that it provides 'clear and interesting conclusions' and 'represents a significant step forward'. The reviewer also praises the paper's presentation and experiments. The only slight negative is the mention of concurrent work reducing the novelty somewhat, but this is presented as a minor point. The politeness score is 70 (polite) because the reviewer uses respectful and appreciative language throughout, such as 'This paper was a pleasure to read'. The reviewer also frames their comments and questions in a constructive manner, without harsh criticism. The tone is professional and courteous, though not excessively formal or deferential, hence the score of 70 rather than higher.",80,70
A Learned Representation For Artistic Style,Accept,2017,"['Vincent Dumoulin', 'Jonathon Shlens', 'Manjunath Kudlur']","[7, 8, 8]","['Good paper, accept', 'Top 50% of accepted papers, clear accept', 'Top 50% of accepted papers, clear accept']","This paper addresses the problem of efficient neural stylization. Instead of training a separate network for N different styles (as is done, e.g., in Johnson et al.), this paper extends the instance normalization work of Ulyanov et al. to train a single network and learn a smaller set “conditional instance normalization” parameters dependent on the desired output style. The conditional instance normalization applies a learnt affine transformation on normalized feature maps at each layer in the network. Qualitative results are shown. I have not worked in this area, but I’m generally aware of the main issues in transferring artistic style. The paper addresses a known challenge of incorporating different styles into the same net, which have a number of practical benefits. As far as I can tell the results look compelling. As I’m less confident in my expertise in this area, I’m happy to support another reviewer who is willing to champion this paper. My main comments are on the paper writing. As far as I understand, the main novelty of the approach starts in Section 2.2, and before that is review of prior art. If this is indeed the case, one suggestion is to remove the subsection heading for 2.1 so it’s grouped with the first part of Section 2, and to cite related work for the feedforward network (e.g., Johnson et al.) in the text and in Fig 2 so it’s clear. In fact, I’m wondering if Figs 2 and 3 can be combined somehow so that the contribution is clearer in the figures. I was at first confused by Eq (5) as x and z are not defined anywhere. Also, it may be helpful to write out everything explicitly as is done in the instance normalization paper. In Eq (4), perhaps you could write T_s to emphasize that there are separate networks for different styles. Fig 5 left: I’m assuming the different colors correspond to the different styles. If so, perhaps mention this in the caption. Also, this figure is hard to read. Maybe instead show single curves with error bars that are averages over the loss curves for N-styles and individual styles. Typos: Page 1: Shouldn’t it be “VGG-16” network (not *VGG-19”)? Page 2: “newtork” => “network”. Paragraph after Eq. (5): “much less” => “fewer”.","['3', '5', '5']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature']","[5, 14]","[11, 15]","[41, 29]","[15, 23]","[24, 5]","[2, 1]","The sentiment score is 50 (moderately positive) because the reviewer expresses a generally favorable view of the paper, noting that it addresses a known challenge and that the results look compelling. However, they also mention not being an expert in the area and defer to other reviewers, which tempers the positivity somewhat. The politeness score is 80 (quite polite) because the reviewer uses respectful language throughout, offers constructive suggestions for improvement, and frames their comments in a helpful manner. They also acknowledge their own limitations in expertise, which is a polite way to qualify their feedback. The review provides specific, actionable feedback without harsh criticism, maintaining a professional and courteous tone throughout.",50,80
A STRUCTURED SELF-ATTENTIVE SENTENCE EMBEDDING,Accept,2017,"['Zhouhan Lin', 'Minwei Feng', 'Cicero Nogueira dos Santos', 'Mo Yu', 'Bing Xiang', 'Bowen Zhou', 'Yoshua Bengio']","[6, 5, 8]","['Marginally above acceptance threshold', '5', 'Top 50% of accepted papers, clear accept']","I like the idea in this paper that use not just one but multiple attentional vectors to extract multiple representations for a sentence. The authors have demonstrated consistent gains across three different tasks Age, Yelp, & SNLI. However, I*d like to see more analysis on the 2D representations (as concerned by another reviewer) to be convinced. Specifically, r=30 seems to be a pretty large value when applying to short sentences like tweets or those in the SNLI dataset. I*d like to see the effect of varying r from small to large value. With large r value, I suspect your models might have an advantage in having a much larger number of parameters (specifically in the supervised components) compare to other models. To make it transparent, the model sizes should be reported. I*d also like to see performances on the dev sets or learning curves. In the conclusion, the authors remark that *attention mechanism reliefs the burden of LSTM*. If the 2D representations are effective in that aspect, I*d expect that the authors might be able to train with a smaller LSTM. Testing the effect of LSTM dimension vs will be helpful. Lastly, there is a problem in the presentation of the paper in which there is no training objective defined. Readers have to read until the experimental sections to guess that the authors perform supervised learning and back-prop through the self-attention mechanism as well as the LSTM. * Minor comments: Typos: netowkrs, toghter, performd Missing year for the citation of (Margarit & Subramaniam) In figure 3, attention plotswith and without penalization look similar.","['5', '4', '4']","['The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[6, 10, 13, 9, 19, 18, 30]","[12, 16, 18, 15, 25, 24, 36]","[59, 28, 90, 187, 154, 250, 975]","[24, 22, 53, 86, 84, 136, 405]","[31, 6, 33, 93, 65, 73, 454]","[4, 0, 4, 8, 5, 41, 116]","The sentiment score is slightly positive (20) because the reviewer expresses liking the core idea and acknowledges consistent gains across tasks, but also raises several concerns and requests for additional analysis. This mix of positive and critical feedback results in a mildly positive overall sentiment. The politeness score is moderately positive (50) as the reviewer uses polite language like 'I'd like to see' and 'I suspect', avoiding harsh criticism. They offer constructive suggestions rather than blunt criticisms. The tone is professional and respectful throughout, though not overly formal or deferential.",20,50
A Simple but Tough-to-Beat Baseline for Sentence Embeddings,Accept,2017,"['Sanjeev Arora', 'Yingyu Liang', 'Tengyu Ma']","[7, 7, 8]","['Good paper, accept', 'Good paper, accept', 'Top 50% of accepted papers, clear accept']","This is a good paper with an interesting probabilistic motivation for weighted bag of words models. The (hopefully soon) added comparison to Wang and Manning will make it stronger. Though it is sad that for sufficiently large datasets, NB-SVM still works better. In the second to last paragraph of the introduction you describe a problem of large cooccurrence counts which was already fixed by the Glove embeddings with their weighting function f. Minor comments: *The capturing the similarities* -- typo in line 2 of intro. *Recently, (Wieting et al.,2016) learned* -- use citet instead of parenthesized citation","['4', '4', '3']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[28, 10, 7]","[34, 16, 13]","[217, 121, 181]","[103, 52, 76]","[76, 54, 97]","[38, 15, 8]","The sentiment score is 50 (moderately positive) because the reviewer describes it as a 'good paper with an interesting probabilistic motivation' and mentions that the comparison to Wang and Manning will make it stronger. However, they also express disappointment that NB-SVM still works better for large datasets, which tempers the positivity. The politeness score is 60 (fairly polite) because the reviewer uses respectful language throughout, offering constructive feedback and suggestions. They point out typos and citation issues in a helpful manner without being harsh. The use of phrases like 'hopefully soon' and describing issues as 'minor comments' contributes to the polite tone. The reviewer balances praise with constructive criticism in a professional manner.",50,60
A recurrent neural network without chaos,Accept,2017,"['Thomas Laurent', 'James von Brecht']","[8, 7, 7]","['Top 50% of accepted papers, clear accept', 'Good paper, accept', 'Good paper, accept']","The authors of the paper set out to answer the question whether chaotic behaviour is a necessary ingredient for RNNs to perform well on some tasks. For that question*s sake, they propose an architecture which is designed to not have chaos. The subsequent experiments validate the claim that chaos is not necessary. This paper is refreshing. Instead of proposing another incremental improvement, the authors start out with a clear hypothesis and test it. This might set the base for future design principles of RNNs. The only downside is that the experiments are only conducted on tasks which are known to be not that demanding from a dynamical systems perspective; it would have been nice if the authors had traversed the set of data sets more to find data where chaos is actually necessary.","['3', '4', '4']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[12, 8]","[18, 14]","[39, 22]","[10, 7]","[23, 9]","[6, 6]","The sentiment score is 80 (positive) because the reviewer describes the paper as 'refreshing' and praises its clear hypothesis and testing approach. They mention it might set the base for future design principles, which is highly positive. The only criticism is minor, regarding the limited scope of experiments. The politeness score is 70 (polite) as the reviewer uses respectful language throughout, acknowledging the authors' efforts and contributions. They offer constructive feedback without harsh criticism. The phrasing 'it would have been nice' for the suggestion is particularly polite. The overall tone is professional and appreciative, though not excessively formal or deferential, hence not a perfect 100.",80,70
Adversarial Feature Learning,Accept,2017,"['Jeff Donahue', 'Philipp Krähenbühl', 'Trevor Darrell']","[7, 7, 7]","['Good paper, accept', 'Good paper, accept', 'Good paper, accept']","This paper provides an interesting idea, which extends GAN by taking into account bidirectional network. Totally, the paper is well-written, and easy to follow what is contribution of this paper. From the theoretical parts, the proposed method, BiGAN, inherits similar properties in GAN. The experimental results show that BiGAN is competitive with other methods. A drawback would a non-convex optimization problem in BiGAN, this paper is still suitable to be accepted in my opinion.","['3', '3', '4']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[7, 17, 14, -1, 17]","[13, 23, 20, 5, 23]","[7, 216, 155, 12, 151]","[6, 123, 63, 6, 68]","[1, 37, 50, 4, 63]","[0, 56, 42, 2, 20]","The sentiment score is 70 (positive) because the reviewer describes the paper as 'interesting' and 'well-written', and states it is 'suitable to be accepted'. They mention positive aspects like the paper being easy to follow and the experimental results being competitive. The only negative point is a minor drawback mentioned. The politeness score is 60 (polite) as the reviewer uses respectful language throughout, acknowledging the paper's contributions and merits. They offer a balanced view, mentioning both strengths and a potential weakness, without using harsh or critical language. The tone is professional and constructive, which is indicative of polite academic discourse.",70,60
Adversarial Machine Learning at Scale,Accept,2017,"['Alexey Kurakin', 'Ian J. Goodfellow', 'Samy Bengio']","[7, 6, 6]","['Good paper, accept', 'Marginally above acceptance threshold', 'Marginally above acceptance threshold']","This paper has two main contributions: (1) Applying adversarial training to imagenet, a larger dataset than previously considered (2) Comparing different adversarial training approaches, focusing importantly on the transferability of different methods. The authors also uncover and explain the label leaking effect which is an important contribution. This paper is clear, well written and does a good job of assessing and comparing adversarial training methods and understanding their relation to one another. A wide range of empirical results are shown which helps elucidate the adversarial training procedure. This paper makes an important contribution towards understand adversarial training and believe ICLR is an appropriate venue for this work.","['3', '4', '4']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[7, 9, 31]","[13, 12, 37]","[37, 107, 261]","[13, 48, 155]","[22, 55, 60]","[2, 4, 46]","The sentiment score is 90 because the review is overwhelmingly positive. The reviewer praises the paper's contributions, clarity, and importance. They use phrases like 'important contribution,' 'clear, well written,' and 'does a good job,' indicating strong approval. The reviewer also states that ICLR is an appropriate venue, further supporting their positive view. The politeness score is 70 because while the language is professional and respectful, it doesn't go out of its way to be overly polite. The reviewer focuses on the paper's merits without using excessively flattering language. The tone is constructive and appreciative, but maintains a professional distance typical of academic reviews.",90,70
Adversarial Training Methods for Semi-Supervised Text Classification,Accept,2017,"['Takeru Miyato', 'Andrew M. Dai', 'Ian Goodfellow']","[6, 7, 7]","['Marginally above acceptance threshold', 'Good paper, accept', 'Good paper, accept']","The authors propose to apply virtual adversarial training to semi-supervised classification. It is quite hard to assess the novelty on the algorithmic side at this stage: there is a huge available literature on semi-supervised learning (especially SVM-related literature, but some work were applied to neural networks too); unfortunately the authors do not mention it, nor relate their approach to it, and stick to the adversarial world. In terms of novelty on the adversarial side, the authors propose to add perturbations at the level of words embeddings, rather than the input itself (having in mind applications to NLP). Concerning the experimental section, authors focus on text classification methods. Again, comparison with the existing SVM-related literature is important to assess the viability of the proposed approach; for example (Wang et al, 2012) report 8.8% on IMBD with a very simple linear SVM (without transductive setup). Overall, the paper reads well and propose a semi-supervised learning algorithm which is shown to work in practice. Theoretical and experimental comparison with past work is missing.","['4', '3', '5']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature']","[2, 7, 9]","[8, 13, 12]","[24, 74, 107]","[9, 28, 48]","[14, 42, 55]","[1, 4, 4]","The sentiment score is slightly negative (-20) because while the reviewer acknowledges that the paper 'reads well' and proposes an algorithm 'shown to work in practice', they also point out significant shortcomings. The reviewer notes a lack of comparison with existing literature, missing theoretical and experimental comparisons, and difficulty in assessing novelty. These criticisms outweigh the positive aspects, resulting in a slightly negative overall sentiment. The politeness score is moderately positive (50) as the reviewer uses neutral, professional language throughout. They offer constructive criticism without harsh or rude phrasing, maintaining a respectful tone while pointing out areas for improvement. The reviewer balances critique with acknowledgment of the paper's strengths, which contributes to the polite tone.",-20,50
